id,name,formula,year,note,rating
1,Carbon Tetrafluoride,CF4,2015,,5
2,Argon,Ar,2014,,5
3,Helium 4,He,2014,,5
4,Helium 3,He,2014,,5
5,Neon,Ne,2013,,5
6,Krypton,Kr,2013,,4
7,Xenon,Xe,2013,,4
8,Methane,CH4,2015,,5
9,Ethane,C2H6,2016,,5
10,Propane,C3H8,2017,,4
11,Isobutane,C4H10,2014,,4
12,Carbon Dioxide,CO2,2018,,5
13,Neo-Pentane,C(CH3)4,2003,,4
14,Water,H2O,2017,Rotational states included,5
15,Oxygen,O2,2016,3-body attachment included,5
16,Nitrogen,N2,2015,,5
17,Nitric Oxide,NO,1995,Attaching gas,2
18,Nitrous Oxide,N2O,2018,Attaching gas (see data file),4
19,Ethene,C2H4,2022,,5
20,Acetylene,C2H2,2002,,4
21,Hydrogen,H2,2019,,5
22,Deuterium,D2,2019,,5
23,Carbon Monoxide,CO,2021,Anisotropic rotational states,5
24,Methylal,C3H8O2,1988,,2
25,Dimethyl Ether,C2H6O,2020,DME,5
26,Reid Step Model ,,,Anisotropic version,
27,Maxwell Model ,,,,
28,Reid Ramp Model ,,,,
29,Hexafluoroethane,C2F6,2023,,4
30,Sulfur Hexafluoride,SF6,2014,,4
31,Ammonia,NH3,2018,120 rotational levels,4
32,Propene,C3H6,1999,,4
33,Cyclopropane,C3H6 ,1999,,4
34,Methanol,CH3OH,2019,,4
35,Ethanol,C2H5OH,2019,,4
36,Iso Propanol,C3H7OH,2019,,3
37,Cesium ,Cs,2001,No dimers,2
38,Flourine ,F2,,Morgan,2
39,Carbon Disulfide,CS2,2001,"Ion drift,dark matter ",2
40,Carbonyl Sulfide,COS,2001,,2
41,Deuteromethane,CD4,2004,TPCS in neutron background environment,4
42,Boron Triflouride,BF3,2001,Anisotropic,4
43,Tetrafluoroethane,C2H2F4  ,2023,Update Ethz data and Urquijo dat,4
44,Trimethylamine,N(CH3)3,2015,TMA,3
45, ,,,,
46,N-Propanol,C3H7OH,2019,,3
47,Para-Hydrogen,H2,2019,,5
48,Ortho-Deuterium,D2,2019,,4
49,  ,,,,
50,Trifluoromethane,CHF3,2001,,3
51,Bromotrifluoromethane,CF3Br,2002,Magic gas constituent      ,3
52,Octafluoropropane,C3F8,2021,Anisotropic  ,4
53,Ozone,O3,2002,Rad Hard (removes carbon deposits) ,3
54,Mercury,Hg,2003,Includes dimer x-section ,2
55,Hydrogen Sulfide,H2S,2003,Poor quality data ,2
56,N-Butane,C4H10,2003,Linear chain  c-c-c-c,4
57,N-Pentane,C5H12,2003,Linear chain c-c-c-c-c,4
58,Nitrogen,N2,2004,P+phelps  mod anisotropic elastic scatt ,4
59,Germane,GeH4,2005,Better transport data needed,3
60,Silane,SiH4                ,2022,Anisotropic,4
61,Carbon Tetrachloride,CCl4,2021,Anisotropic     ,4
